iter,step,fold,acc,prec,rec,f1score
0,2,0,88.959,89.024,88.959,88.948
1,2,0,91.798,92.212,91.798,91.768
2,2,0,91.798,92.212,91.798,91.768
3,2,0,90.536,91.169,90.536,90.485
4,2,0,90.536,91.169,90.536,90.485
5,2,0,90.536,91.169,90.536,90.485
6,2,0,90.536,91.169,90.536,90.485
7,2,0,90.536,91.169,90.536,90.485
8,2,0,90.536,91.169,90.536,90.485
9,2,0,90.536,91.169,90.536,90.485
10,2,0,90.536,91.169,90.536,90.485
11,2,0,90.536,91.169,90.536,90.485
12,2,0,90.536,91.169,90.536,90.485
13,2,0,90.536,91.169,90.536,90.485
14,2,0,90.536,91.169,90.536,90.485
15,2,0,90.536,91.169,90.536,90.485
16,2,0,90.536,91.169,90.536,90.485
17,2,0,90.536,91.169,90.536,90.485
18,2,0,90.536,91.169,90.536,90.485
19,2,0,90.536,91.169,90.536,90.485
20,2,0,90.536,91.169,90.536,90.485
21,2,0,92.429,92.967,92.429,92.395
22,2,0,92.429,92.967,92.429,92.395
23,2,0,91.798,92.455,91.798,91.754
24,2,0,91.798,92.455,91.798,91.754
25,2,0,91.798,92.455,91.798,91.754
26,2,0,91.798,92.455,91.798,91.754
27,2,0,91.798,92.455,91.798,91.754
28,2,0,91.798,92.455,91.798,91.754
29,2,0,91.798,92.455,91.798,91.754
30,2,0,91.798,92.455,91.798,91.754
31,2,0,91.798,92.455,91.798,91.754
32,2,0,91.798,92.455,91.798,91.754
33,2,0,91.798,92.455,91.798,91.754
34,2,0,91.798,92.455,91.798,91.754
35,2,0,91.798,92.455,91.798,91.754
36,2,0,91.798,92.455,91.798,91.754
37,2,0,91.798,92.455,91.798,91.754
38,2,0,91.798,92.455,91.798,91.754
39,2,0,91.798,92.455,91.798,91.754
40,2,0,91.798,92.455,91.798,91.754
41,2,0,91.798,92.455,91.798,91.754
42,2,0,91.798,92.455,91.798,91.754
43,2,0,91.798,92.455,91.798,91.754
44,2,0,91.798,92.455,91.798,91.754
45,2,0,91.798,92.455,91.798,91.754
46,2,0,91.798,92.455,91.798,91.754
47,2,0,91.798,92.455,91.798,91.754
48,2,0,91.798,92.455,91.798,91.754
49,2,0,91.798,92.455,91.798,91.754
50,2,0,92.114,92.479,92.114,92.088
0,2,1,89.274,89.314,89.274,89.262
1,2,1,89.274,89.314,89.274,89.262
2,2,1,89.274,89.314,89.274,89.262
3,2,1,89.274,89.314,89.274,89.262
4,2,1,89.274,89.314,89.274,89.262
5,2,1,89.274,89.314,89.274,89.262
6,2,1,89.274,89.314,89.274,89.262
7,2,1,92.114,92.145,92.114,92.106
8,2,1,92.114,92.145,92.114,92.106
9,2,1,92.114,92.145,92.114,92.106
10,2,1,92.114,92.145,92.114,92.106
