iter,step,fold,acc,prec,rec,f1score
0,2,0,57.413,57.949,57.413,57.047
1,2,0,57.729,57.701,57.729,57.678
2,2,0,65.615,66.163,65.615,65.156
3,2,0,61.514,61.506,61.514,61.449
4,2,0,61.514,61.506,61.514,61.449
5,2,0,64.669,64.719,64.669,64.671
6,2,0,65.615,65.655,65.615,65.619
7,2,0,67.508,67.528,67.508,67.512
8,2,0,68.77,68.767,68.77,68.751
9,2,0,55.521,56.645,55.521,54.325
10,2,0,55.205,55.72,55.205,54.736
11,2,0,67.508,67.983,67.508,67.166
12,2,0,67.823,68.351,67.823,67.463
13,2,0,69.085,69.257,69.085,68.946
14,2,0,69.085,69.257,69.085,68.946
15,2,0,68.454,68.782,68.454,68.218
16,2,0,68.139,68.427,68.139,67.918
17,2,0,66.562,66.553,66.562,66.547
18,2,0,67.192,67.2,67.192,67.153
19,2,0,68.139,68.157,68.139,68.093
20,2,0,68.139,68.157,68.139,68.093
21,2,0,63.407,63.511,63.407,63.396
22,2,0,63.407,63.511,63.407,63.396
23,2,0,65.615,65.655,65.615,65.619
24,2,0,65.3,65.351,65.3,65.302
25,2,0,65.3,65.644,65.3,65.21
26,2,0,64.984,65.354,64.984,64.882
27,2,0,66.877,66.942,66.877,66.877
28,2,0,65.931,66.042,65.931,65.92
29,2,0,66.877,67.099,66.877,66.837
30,2,0,66.246,66.572,66.246,66.169
31,2,0,66.246,66.572,66.246,66.169
32,2,0,65.3,65.706,65.3,65.185
33,2,0,63.091,63.855,63.091,62.774
34,2,0,62.776,63.57,62.776,62.433
35,2,0,66.562,66.806,66.562,66.514
36,2,0,65.931,66.224,65.931,65.863
37,2,0,65.931,65.96,65.931,65.935
38,2,0,66.246,66.266,66.246,66.25
39,2,0,65.615,65.655,65.615,65.619
40,2,0,63.091,63.211,63.091,63.075
41,2,0,63.407,63.726,63.407,63.312
42,2,0,63.407,63.726,63.407,63.312
43,2,0,63.722,64.344,63.722,63.491
44,2,0,63.722,64.344,63.722,63.491
45,2,0,64.984,65.731,64.984,64.723
46,2,0,65.3,66.013,65.3,65.06
47,2,0,64.353,64.994,64.353,64.126
48,2,0,64.669,65.279,64.669,64.461
49,2,0,65.615,65.783,65.615,65.588
50,2,0,65.3,65.488,65.3,65.266
51,2,0,64.353,64.844,64.353,64.193
52,2,0,64.353,64.844,64.353,64.193
53,2,0,66.877,67.21,66.877,66.802
54,2,0,66.246,66.515,66.246,66.189
55,2,0,67.192,67.442,67.192,67.145
56,2,0,66.877,67.21,66.877,66.802
57,2,0,65.931,66.348,65.931,65.818
58,2,0,65.615,65.994,65.615,65.514
59,2,0,65.931,66.283,65.931,65.842
60,2,0,65.3,65.586,65.3,65.231
61,2,0,64.984,65.354,64.984,64.882
62,2,0,64.669,65.065,64.669,64.552
63,2,0,64.984,65.149,64.984,64.957
64,2,0,64.669,64.949,64.669,64.599
65,2,0,66.246,66.311,66.246,66.246
66,2,0,66.246,66.311,66.246,66.246
67,2,0,65.931,65.96,65.931,65.935
68,2,0,65.931,65.982,65.931,65.933
69,2,0,64.353,64.515,64.353,64.326
70,2,0,64.669,64.812,64.669,64.648
71,2,0,65.3,65.586,65.3,65.231
72,2,0,64.353,64.605,64.353,64.293
73,2,0,65.615,65.783,65.615,65.588
74,2,0,65.615,65.828,65.615,65.574
75,2,0,65.615,65.709,65.615,65.609
76,2,0,49.527,75.164,49.527,33.497
77,2,0,49.527,51.545,49.527,38.966
78,2,0,48.896,23.908,48.896,32.114
79,2,0,57.729,59.402,57.729,56.353
80,2,0,59.937,61.496,59.937,58.944
81,2,0,59.306,62.079,59.306,57.388
82,2,0,63.407,63.4,63.407,63.363
83,2,0,61.83,62.466,61.83,61.545
84,2,0,52.681,54.542,52.681,49.27
85,2,0,53.943,55.811,53.943,51.271
86,2,0,58.991,63.851,58.991,55.718
87,2,0,61.83,62.265,61.83,61.658
88,2,0,57.413,59.094,57.413,55.976
89,2,0,57.729,59.183,57.729,56.546
90,2,0,69.085,69.085,69.085,69.085
91,2,0,59.937,61.496,59.937,58.944
92,2,0,63.407,63.726,63.407,63.312
93,2,0,66.877,67.051,66.877,66.851
94,2,0,66.877,68.716,66.877,66.247
95,2,0,69.401,69.698,69.401,69.349
96,2,0,63.407,65.292,63.407,62.537
97,2,0,67.508,67.504,67.508,67.505
98,2,0,70.978,71.478,70.978,70.882
99,2,0,58.675,61.474,58.675,56.604
100,2,0,64.984,65.354,64.984,64.882
0,2,1,58.044,58.322,58.044,58.016
1,2,1,60.883,60.826,60.883,60.735
2,2,1,64.353,64.692,64.353,63.803
3,2,1,64.353,64.316,64.353,64.303
4,2,1,64.038,64.0,64.038,63.955
5,2,1,64.669,64.689,64.669,64.677
6,2,1,64.353,64.363,64.353,64.358
7,2,1,63.407,63.407,63.407,63.407
8,2,1,63.091,63.082,63.091,63.086
9,2,1,62.461,62.436,62.461,62.443
10,2,1,64.984,64.976,64.984,64.979
11,2,1,65.615,65.838,65.615,65.24
12,2,1,65.931,66.254,65.931,65.485
13,2,1,65.931,66.01,65.931,65.704
14,2,1,65.931,66.01,65.931,65.704
15,2,1,65.931,66.01,65.931,65.704
