iter,step,fold,acc,prec,rec,f1score
0,2,0,79.856,78.445,79.856,78.269
1,2,0,82.734,82.603,82.734,82.503
2,2,0,81.295,81.139,81.295,81.055
3,2,0,81.295,81.139,81.295,81.055
4,2,0,84.892,84.746,84.892,84.78
5,2,0,84.173,83.714,84.173,83.745
6,2,0,86.331,86.197,86.331,86.229
7,2,0,85.612,85.641,85.612,85.452
8,2,0,82.734,82.83,82.734,82.507
9,2,0,81.295,81.142,81.295,81.133
10,2,0,81.295,81.366,81.295,81.321
11,2,0,81.295,81.29,81.295,81.272
12,2,0,83.453,83.534,83.453,83.299
13,2,0,83.453,83.534,83.453,83.299
14,2,0,84.892,84.989,84.892,84.67
15,2,0,83.453,83.382,83.453,83.379
16,2,0,84.173,84.212,84.173,84.078
17,2,0,84.173,84.212,84.173,84.078
18,2,0,84.892,84.956,84.892,84.639
19,2,0,84.173,84.266,84.173,83.987
20,2,0,87.77,87.665,87.77,87.537
21,2,0,87.77,87.665,87.77,87.537
22,2,0,87.05,86.922,87.05,86.824
23,2,0,85.612,85.786,85.612,85.419
24,2,0,85.612,85.905,85.612,85.5
25,2,0,85.612,85.747,85.612,85.494
26,2,0,86.331,86.568,86.331,86.19
27,2,0,87.05,87.238,87.05,86.955
28,2,0,86.331,86.354,86.331,86.202
29,2,0,87.05,87.042,87.05,86.956
30,2,0,84.892,85.228,84.892,84.6
31,2,0,84.892,85.508,84.892,84.622
32,2,0,84.173,84.604,84.173,83.821
33,2,0,84.173,84.604,84.173,83.821
34,2,0,84.173,84.591,84.173,83.924
35,2,0,84.173,84.616,84.173,83.962
36,2,0,86.331,86.505,86.331,86.139
37,2,0,86.331,86.505,86.331,86.139
38,2,0,85.612,86.109,85.612,85.392
39,2,0,85.612,86.109,85.612,85.392
40,2,0,86.331,86.721,86.331,86.156
41,2,0,87.05,87.351,87.05,86.88
42,2,0,87.05,87.351,87.05,86.88
43,2,0,87.05,87.151,87.05,86.862
